"Setting","Statistic","Quantity","Bias.bias_mean","Bias.bias_median","Bias.sd"
"n0=20000","Mean","X3",-0.00432919815315864,-0.00436388209999805,0.00142708177290521
"n0=40000","Mean","X3",-0.00215853450069181,-0.00215718224363148,0.000689635824729342
"n0=1000","Var","X3",0.239617565025889,0.235191262498939,0.132916972659338
"n0=2500","Var","X3",0.128876935279113,0.126476418865752,0.0655397043826661
"n0=5000","Var","X3",0.0803201566195094,0.0787424792490468,0.033991580077414
"n0=10000","Var","X3",0.0465684916519285,0.0455743733983489,0.0175476242987824
"n0=20000","Var","X3",0.0247391340250828,0.0245325625103021,0.00813152435219579
"n0=40000","Var","X3",0.013222416743344,0.0132341126026523,0.00406717464446849
"n0=1000","Lasso","X3",-0.0363757460350544,-0.0364870621879659,0.0118577252032527
"n0=2500","Lasso","X3",-0.0208067229114835,-0.0208849842501922,0.00528652510770363
"n0=5000","Lasso","X3",-0.0125150699671897,-0.0125833106201634,0.00275721149841078
"n0=10000","Lasso","X3",-0.00686240128392006,-0.0068707331464129,0.00146273385106655
"n0=20000","Lasso","X3",-0.0037579089536303,-0.00371670690041015,0.000714950707952381
"n0=40000","Lasso","X3",-0.00190339654858871,-0.00192078912406646,0.000355115384331453
"n0=1000","Quantile","X3_q25",0.0587133932465176,0.0618937698277451,0.106492787815859
"n0=2500","Quantile","X3_q25",0.0148018176137481,0.0161051008389146,0.0666953055084008
"n0=5000","Quantile","X3_q25",-0.00218064508255967,-0.00601642622079446,0.0545908255557381
"n0=10000","Quantile","X3_q25",-0.0184796363216602,-0.019770585666417,0.0454025138822413
"n0=20000","Quantile","X3_q25",-0.0251742213191208,-0.0227033762820326,0.0386631582336105
"n0=40000","Quantile","X3_q25",-0.0273527136284679,-0.0275463383676047,0.0344201277135414
"n0=1000","Quantile","X3_q5",0.0244498794417928,0.0216841722909282,0.0913320311825424
"n0=2500","Quantile","X3_q5",-0.00369383209699711,-0.00304825216630444,0.0577652163440115
"n0=5000","Quantile","X3_q5",-0.0157810847187497,-0.0135217906567702,0.0441646135869168
"n0=10000","Quantile","X3_q5",-0.0263779335624388,-0.0279897070744823,0.0368178083547085
"n0=20000","Quantile","X3_q5",-0.031131113535203,-0.0305919582318226,0.0317050407991747
"n0=40000","Quantile","X3_q5",-0.0330989071302945,-0.0339693862874784,0.0297919217985214
"n0=1000","Quantile","X3_q50",0.0639774394336493,0.0621605680527035,0.0761937350703806
"n0=2500","Quantile","X3_q50",0.0390573487080706,0.0385940224976743,0.0512916844292314
"n0=5000","Quantile","X3_q50",0.0251725213906445,0.0235020793737103,0.0400574755670836
"n0=10000","Quantile","X3_q50",0.0150023896825205,0.0149685758757239,0.0336383531617904
"n0=20000","Quantile","X3_q50",0.00863129638781917,0.00823551823897034,0.0293098125364997
"n0=40000","Quantile","X3_q50",0.00678257020165113,0.00635047269333255,0.0275122646914353
"n0=1000","Quantile","X3_q75",-0.112372764246564,-0.112560207931749,0.0785319449473817
"n0=2500","Quantile","X3_q75",-0.0700240983485911,-0.0707220112989641,0.0525056037098828
"n0=5000","Quantile","X3_q75",-0.0517197791821681,-0.0522822503123878,0.0401643462311169
"n0=10000","Quantile","X3_q75",-0.0377965775771057,-0.0400160395836381,0.0339210154641564
"n0=20000","Quantile","X3_q75",-0.0293297352604943,-0.0294811683326717,0.0289953806586101
"n0=40000","Quantile","X3_q75",-0.0254897206341344,-0.0244846517779579,0.0269261359867751
"n0=1000","Quantile","X3_q95",0.196486026304912,0.190123747967843,0.11313289306557
"n0=2500","Quantile","X3_q95",0.144472594769129,0.145773786925273,0.0684714825137403
"n0=5000","Quantile","X3_q95",0.130833028407721,0.131602456114471,0.053497617565918
