"Setting","Method","Size","Statistic","Quantity","Bias.bias_mean","Bias.bias_median","Bias.sd","Bias.rmse"
"CLEAR (half)","CLEAR","half","Cov","X1-X1",0.113072726536112,0.110764534866545,0.155931222874137,0.19248729480358
"synthpop (half)","synthpop","half","Cov","X1-X1",-0.559693481011438,-0.545900401760541,0.611984021368901,0.828874047254907
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Cov","X1-X1",0.0748206437658167,0.0738864670913166,0.147711052849452,0.16544801829323
"CLEAR (equal)","CLEAR","equal","Cov","X1-X1",0.0559303078349016,0.0538389852812315,0.0626886282781433,0.0839654912548679
"synthpop (equal)","synthpop","equal","Cov","X1-X1",0.478197893675011,0.49625317114381,0.424193272973552,0.63894700757227
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Cov","X1-X1",0.0559740398449106,0.0535775490637249,0.0802718651298367,0.0977945720544831
"CLEAR (double)","CLEAR","double","Cov","X1-X1",0.0438879371450603,0.0409561028088827,0.0362946352655281,0.0569281738228829
"synthpop (double)","synthpop","double","Cov","X1-X1",-0.0661179735611086,-0.0668709819379298,0.304343535807856,0.311145181933256
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Cov","X1-X1",0.0349601141804235,0.0316206893411834,0.0442975007100649,0.056396397185708
"CLEAR (half)","CLEAR","half","Mean","X2",0.0355352982361244,0.0354184248422348,0.0068063177672753,0.0361799769258679
"synthpop (half)","synthpop","half","Mean","X2",-0.0949072002246217,-0.0949796333420504,0.0419900494757104,0.103764225920782
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Mean","X2",0.0341392043245633,0.0341272266232614,0.0067744590418635,0.0348035455181444
"CLEAR (equal)","CLEAR","equal","Mean","X2",0.020284073434353,0.0201741407781544,0.00334576645979526,0.0205576117286836
"synthpop (equal)","synthpop","equal","Mean","X2",0.0166874300110467,0.0151752657397827,0.028975851183781,0.0334124388857587
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Mean","X2",0.0199501332698484,0.0196787826744436,0.00403579907714067,0.020353449740213
"CLEAR (double)","CLEAR","double","Mean","X2",0.0111840064979968,0.0111705286248087,0.00183470283986617,0.0113331991771444
"synthpop (double)","synthpop","double","Mean","X2",0.0437850894973668,0.0442790910691193,0.0202412250979274,0.0482288486423889
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Mean","X2",0.0109360110508975,0.010896526145879,0.0021362974614067,0.0111423057315476
"CLEAR (half)","CLEAR","half","Var","X2",-0.0714687435441834,-0.0708502187711693,0.0503595594426524,0.0874001965706473
"synthpop (half)","synthpop","half","Var","X2",-0.232770856774279,-0.232973912049267,0.243702188385158,0.336829700106597
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Var","X2",-0.0496907620627316,-0.0486537169728649,0.0531884831987876,0.0727497666654179
"CLEAR (equal)","CLEAR","equal","Var","X2",-0.0280549383095921,-0.0287304232096544,0.0225836926671783,0.0360011484773973
"synthpop (equal)","synthpop","equal","Var","X2",0.194120502722671,0.184834539583632,0.170719741387453,0.258398353741859
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Var","X2",-0.0259539481605073,-0.0259457148946565,0.0317879890298968,0.0410129579424602
"CLEAR (double)","CLEAR","double","Var","X2",-0.015475080116142,-0.0158250957627013,0.0124653893724751,0.0198633648948011
"synthpop (double)","synthpop","double","Var","X2",-0.0250196923169636,-0.0202600437676361,0.117206188234979,0.119732205287833
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Var","X2",-0.0124148579754519,-0.0119849745899741,0.0162699711042425,0.0204526583691232
"CLEAR (half)","CLEAR","half","Lasso","X2",-0.0187501057433119,-0.0187196838545873,0.00593957923602297,0.0196665835793453
"synthpop (half)","synthpop","half","Lasso","X2",0.016176738845558,0.0159118219637119,0.0272758807399919,0.0316886825614345
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Lasso","X2",-0.019331023779715,-0.0193867195670691,0.00585027243700761,0.0201951904319802
"CLEAR (equal)","CLEAR","equal","Lasso","X2",-0.010917441656625,-0.0108099844441727,0.00273258911035198,0.0112535612801163
"synthpop (equal)","synthpop","equal","Lasso","X2",-0.0115792955030572,-0.0114444151307289,0.0185764597669942,0.0218740661996558
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Lasso","X2",-0.011406218959436,-0.0113764501497146,0.00332990914875998,0.011881411923661
"CLEAR (double)","CLEAR","double","Lasso","X2",-0.00623626856932429,-0.00621077724296304,0.00147100210212713,0.00640707149631058
"synthpop (double)","synthpop","double","Lasso","X2",0.00287997868858137,0.00259349381396001,0.0138028429745504,0.0140865792326746
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Lasso","X2",-0.00637496590401729,-0.00634105576146438,0.00184213562959013,0.0066352744500761
"CLEAR (half)","CLEAR","half","Quantile","X2_q25",0.219557623996085,0.21433086409165,0.0937091146697441,0.238682604373778
"synthpop (half)","synthpop","half","Quantile","X2_q25",-0.0158864378301808,-0.0158204484653481,0.144549802068664,0.145276408595704
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X2_q25",0.215719997537151,0.217943132363787,0.108920955462791,0.241609528635105
"CLEAR (equal)","CLEAR","equal","Quantile","X2_q25",0.183627831782563,0.179769365641724,0.070064666673644,0.196515699134247
"synthpop (equal)","synthpop","equal","Quantile","X2_q25",0.0321611883716271,0.0320533381611066,0.102419831418762,0.107252898616248
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X2_q25",0.188679601402621,0.182277087195222,0.0865568813425764,0.207550238510557
"CLEAR (double)","CLEAR","double","Quantile","X2_q25",0.164750866661683,0.164351015510891,0.0610518555092495,0.175677894081116
"synthpop (double)","synthpop","double","Quantile","X2_q25",-0.040624316663306,-0.0367399096696648,0.0748718064601719,0.0851170425482746
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X2_q25",0.1670876830669,0.16360896559864,0.0792216181085184,0.184883223897803
"CLEAR (half)","CLEAR","half","Quantile","X2_q5",0.00681866157666441,0.00986860335202588,0.0788985024616944,0.0791139550838768
"synthpop (half)","synthpop","half","Quantile","X2_q5",0.224490495368765,0.220558506852145,0.114264229220248,0.25184555577189
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X2_q5",0.020221539317437,0.0178303376327915,0.0757002541307851,0.0782814030972949
"CLEAR (equal)","CLEAR","equal","Quantile","X2_q5",0.0139484835872242,0.0145081703916967,0.0513791254637223,0.0531892385613212
"synthpop (equal)","synthpop","equal","Quantile","X2_q5",-0.057541752071799,-0.0579498486718167,0.085916183712301,0.103333831216746
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X2_q5",0.000724503433999294,-7.05849773660061e-05,0.0614293937416966,0.0613722101595447
"CLEAR (double)","CLEAR","double","Quantile","X2_q5",-0.00474418516331057,-0.00520770914493029,0.044609716675178,0.0448168948172422
"synthpop (double)","synthpop","double","Quantile","X2_q5",-0.0769547025387388,-0.076762249575054,0.0596012588041567,0.0972997002758167
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X2_q5",-0.00588111406555805,-0.00580749995070107,0.0511858198038482,0.0514716978090498
"CLEAR (half)","CLEAR","half","Quantile","X2_q50",0.0564969599554253,0.0568078106175051,0.0404348802267519,0.0694522574440802
"synthpop (half)","synthpop","half","Quantile","X2_q50",-0.101301722182676,-0.100429496097585,0.0669737366406405,0.121402427298579
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X2_q50",0.0430122424356848,0.0425218219988147,0.0459261125039696,0.0628891277841722
"CLEAR (equal)","CLEAR","equal","Quantile","X2_q50",0.0311326138137442,0.0316205070500851,0.0306502400479544,0.0436668980286323
"synthpop (equal)","synthpop","equal","Quantile","X2_q50",0.0031555619949103,0.00116103578332594,0.0461702479075681,0.0462318719041996
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X2_q50",0.0304073209393206,0.0304725809918348,0.0369920350896479,0.0478568595444836
"CLEAR (double)","CLEAR","double","Quantile","X2_q50",0.0252920733379591,0.0243975348360471,0.0270465237627391,0.0370100039514428
"synthpop (double)","synthpop","double","Quantile","X2_q50",0.0593454969535067,0.0589099544698798,0.0340568019473031,0.0684063888538107
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X2_q50",0.020040106158913,0.0200382649576056,0.0316553961031895,0.03743882782761
"CLEAR (half)","CLEAR","half","Quantile","X2_q75",0.0494806700181625,0.0515996481825518,0.0898992498654961,0.102538032366398
"synthpop (half)","synthpop","half","Quantile","X2_q75",0.102734171316869,0.104216472442829,0.139954204294451,0.173500187023696
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X2_q75",0.0538422065071009,0.0557855186417684,0.0964133700860693,0.110344596863843
"CLEAR (equal)","CLEAR","equal","Quantile","X2_q75",0.0624820019054822,0.0586184448498415,0.0643615398908518,0.0896555830029795
"synthpop (equal)","synthpop","equal","Quantile","X2_q75",-0.0535427426460141,-0.0530358978757095,0.10142864145217,0.11460374801147
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X2_q75",0.0599621039443653,0.0585130234029612,0.075499110602866,0.0963543947096085
"CLEAR (double)","CLEAR","double","Quantile","X2_q75",0.064256649832456,0.062764876462335,0.0593653001134375,0.0874420232355945
"synthpop (double)","synthpop","double","Quantile","X2_q75",-0.0220295677984394,-0.0162846416017157,0.0687724212328891,0.0721490712883784
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X2_q75",0.0674181956699617,0.0651041842709652,0.0670095404926852,0.0950079526534488
"CLEAR (half)","CLEAR","half","Quantile","X2_q95",-0.00165357611513922,-0.000358442343659338,0.0456285308145567,0.045612862359371
"synthpop (half)","synthpop","half","Quantile","X2_q95",0.065904164964337,0.0645370435665673,0.0829327145549932,0.105865189901212
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X2_q95",-0.0099002853866007,-0.00950191951753654,0.0510926382796406,0.0519928112505718
"CLEAR (equal)","CLEAR","equal","Quantile","X2_q95",-0.00957191201646315,-0.00947771973686651,0.0356013484016597,0.0368312719798168
"synthpop (equal)","synthpop","equal","Quantile","X2_q95",0.00051177166380573,0.00179452899729737,0.0619646289975377,0.0619047488206257
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X2_q95",-0.0072708699615912,-0.00659986355942266,0.0413310646867679,0.0419250038082751
