"Setting","Method","Size","Statistic","Quantity","Bias.bias_mean","Bias.bias_median","Bias.sd","Bias.rmse"
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X3_q25",0.0175390212898775,0.0183616375175726,0.0753836276160925,0.0773236263876919
"CLEAR (equal)","CLEAR","equal","Quantile","X3_q25",-0.00961942361548948,-0.0120698310264871,0.0478975446141311,0.0488069640645348
"synthpop (equal)","synthpop","equal","Quantile","X3_q25",-0.0117919748572309,-0.00840931595810934,0.0729621060222251,0.0738367973872214
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X3_q25",-0.00449753312352321,-0.00648589903305119,0.0616793538490966,0.0617815652930288
"CLEAR (double)","CLEAR","double","Quantile","X3_q25",-0.0125679958368288,-0.0144836573665663,0.0408501030427155,0.0427006788718613
"synthpop (double)","synthpop","double","Quantile","X3_q25",0.0285923330373143,0.0246257881858232,0.0516434460687281,0.0589850230086131
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X3_q25",-0.0153483245194012,-0.0127107648158944,0.0510305320332618,0.0532398162539224
"CLEAR (half)","CLEAR","half","Quantile","X3_q5",-0.0147463595255034,-0.0150518912328046,0.064346353105812,0.0659517048373824
"synthpop (half)","synthpop","half","Quantile","X3_q5",0.150987117179598,0.154542742470403,0.105738918469958,0.184270092515426
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X3_q5",-0.00859728581528291,-0.00892609820296908,0.0685480549573567,0.069017037680196
"CLEAR (equal)","CLEAR","equal","Quantile","X3_q5",-0.0252287779623418,-0.0252643371246757,0.0436579401916403,0.0503854636553682
"synthpop (equal)","synthpop","equal","Quantile","X3_q5",-0.00991694683094017,-0.00354455185906799,0.073750220584518,0.0743408547209421
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X3_q5",-0.0186902828239433,-0.017845404287653,0.0527340573156486,0.0558985304941656
"CLEAR (double)","CLEAR","double","Quantile","X3_q5",-0.0240623691734834,-0.0244304085409635,0.0368501610095168,0.0439797238274123
"synthpop (double)","synthpop","double","Quantile","X3_q5",-0.0803660123418716,-0.0807094147030689,0.0554165416180569,0.0975886624484109
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X3_q5",-0.0295435845660193,-0.0286965828379295,0.044445508174211,0.0533317520758475
"CLEAR (half)","CLEAR","half","Quantile","X3_q50",0.0204043878690931,0.0218891181086478,0.0498324498817007,0.0538019103694486
"synthpop (half)","synthpop","half","Quantile","X3_q50",-0.172822701721842,-0.171788733166302,0.0719967624359092,0.187192021635771
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X3_q50",0.0348750290156414,0.0340037067738481,0.053539941538975,0.0638518593163793
"CLEAR (equal)","CLEAR","equal","Quantile","X3_q50",0.00684707572782234,0.00584001941636303,0.0370986863683497,0.0376887562970602
"synthpop (equal)","synthpop","equal","Quantile","X3_q50",0.0370397067189479,0.0315627585729645,0.0527862640202506,0.064441886717436
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X3_q50",0.0223182172703654,0.0224421071494573,0.044596928869426,0.0498298215387404
"CLEAR (double)","CLEAR","double","Quantile","X3_q50",0.0142791073661218,0.0151955190053007,0.0329643182154491,0.0358938140914532
"synthpop (double)","synthpop","double","Quantile","X3_q50",0.059487771722658,0.0592323518940497,0.0377939185656493,0.070457920097835
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X3_q50",0.0136057519813742,0.0121832834765416,0.0386053897001243,0.0408963549555377
"CLEAR (half)","CLEAR","half","Quantile","X3_q75",-0.0605198434671869,-0.0613485708906531,0.0476568140305338,0.0770018248678991
"synthpop (half)","synthpop","half","Quantile","X3_q75",0.0983720845595343,0.097920774642303,0.0844617571544547,0.129601650704623
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X3_q75",-0.070496153988809,-0.0698503608733655,0.0598570304402028,0.0924413656981927
"CLEAR (equal)","CLEAR","equal","Quantile","X3_q75",-0.0491765644568416,-0.0484399153759625,0.0381816666289691,0.0622355081847212
"synthpop (equal)","synthpop","equal","Quantile","X3_q75",-0.0221315593811915,-0.0197132001408346,0.0623469513378107,0.0660997275113922
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X3_q75",-0.0505164265019852,-0.0496375138978289,0.0444451082894866,0.0672556782888474
"CLEAR (double)","CLEAR","double","Quantile","X3_q75",-0.0312086145646457,-0.0307689827109995,0.0315274308405217,0.044339244024427
"synthpop (double)","synthpop","double","Quantile","X3_q75",-0.038111985132669,-0.03615357291157,0.0439283886798134,0.0581237243825061
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X3_q75",-0.0367327842183386,-0.0350868402192055,0.03744990867464,0.0524307934791227
"CLEAR (half)","CLEAR","half","Quantile","X3_q95",0.153186301425495,0.157292342411898,0.0682478014406965,0.167673760085198
"synthpop (half)","synthpop","half","Quantile","X3_q95",-0.00218715942903819,-2.66453525910038e-15,0.0944204979166682,0.0943513838390615
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X3_q95",0.147701620202974,0.147207189761528,0.0801988719383341,0.16803203251953
"CLEAR (equal)","CLEAR","equal","Quantile","X3_q95",0.132087751041032,0.134889728230603,0.0508301474422563,0.141512227232494
"synthpop (equal)","synthpop","equal","Quantile","X3_q95",0.0117492379277075,0.0113101531442412,0.0679152716941191,0.0688571256509399
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X3_q95",0.123705321304155,0.121534516138298,0.0602219110543607,0.137558830079575
"CLEAR (double)","CLEAR","double","Quantile","X3_q95",0.105869036440397,0.105920536773866,0.044131745896451,0.114682032815499
"synthpop (double)","synthpop","double","Quantile","X3_q95",-0.0246563647738218,-0.0221978157356633,0.0516740519964145,0.0572084220922799
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X3_q95",0.110053184113203,0.10797436588512,0.0559496119420667,0.123433389695696
"CLEAR (half)","CLEAR","half","Cov","X3-X1",-0.0057806151456723,-0.0044919323275068,0.0458036704178247,0.0461215327451245
"synthpop (half)","synthpop","half","Cov","X3-X1",-0.261000696282823,-0.265764184312612,0.203705970346949,0.330959957654095
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Cov","X3-X1",0.00539600581216981,0.00735709437559399,0.0503597514856807,0.0505979173413797
"CLEAR (equal)","CLEAR","equal","Cov","X3-X1",0.00684919335223335,0.00730801852699559,0.0206775319297359,0.0217627354812789
"synthpop (equal)","synthpop","equal","Cov","X3-X1",0.275444330427078,0.282229831454918,0.139432552705719,0.308661842547708
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Cov","X3-X1",0.000624249300948271,0.00260393671344539,0.0285015708426554,0.0284798972717185
"CLEAR (double)","CLEAR","double","Cov","X3-X1",-0.000413326939633614,-0.000778265012382789,0.011816275232424,0.011811687043208
"synthpop (double)","synthpop","double","Cov","X3-X1",-0.00602350015218782,-0.00204012274267595,0.102076970278676,0.102152586847493
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Cov","X3-X1",-0.000328988801714918,-0.000389932569062001,0.0156325907513774,0.0156204152135756
"CLEAR (half)","CLEAR","half","Cov","X3-X2",-0.168186079535647,-0.167725019590886,0.043423884194747,0.173690586390549
"synthpop (half)","synthpop","half","Cov","X3-X2",0.193596159214077,0.185584857312808,0.207984418791419,0.283990274984068
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Cov","X3-X2",-0.175427362393842,-0.173829701663439,0.0533748424283794,0.183351944448665
"CLEAR (equal)","CLEAR","equal","Cov","X3-X2",-0.104597319338195,-0.103740477011852,0.0217148475552335,0.106823175144136
"synthpop (equal)","synthpop","equal","Cov","X3-X2",-0.156581508132847,-0.162806641579363,0.14965673684362,0.216495065288038
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Cov","X3-X2",-0.102880369478741,-0.1025422324408,0.0282302431084986,0.106675785241053
"CLEAR (double)","CLEAR","double","Cov","X3-X2",-0.0545344720838688,-0.0540129311670325,0.011725536187347,0.0557783279414979
"synthpop (double)","synthpop","double","Cov","X3-X2",0.0172820754143121,0.0239035453853633,0.102011523733185,0.103364444578605
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Cov","X3-X2",-0.0575297653836881,-0.0566544676632788,0.0153763288572169,0.0595452141758615
"CLEAR (half)","CLEAR","half","Cov","X3-X3",0.142738515208986,0.139705026623339,0.0624014722535717,0.155757630875666
"synthpop (half)","synthpop","half","Cov","X3-X3",-0.16860321883439,-0.162765792337847,0.268632420142385,0.316932320533216
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Cov","X3-X3",0.130564117788276,0.126256800812414,0.0745109312693048,0.150292261858995
"CLEAR (equal)","CLEAR","equal","Cov","X3-X3",0.0843045335796911,0.0839325102196522,0.0313792255170142,0.0899440985532058
"synthpop (equal)","synthpop","equal","Cov","X3-X3",0.129858413566056,0.137351234278221,0.2091229645098,0.245984058488937
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Cov","X3-X3",0.0749721549796197,0.0725184673678942,0.0372571218165251,0.0837026938759285
"CLEAR (double)","CLEAR","double","Cov","X3-X3",0.0425212524927762,0.0418922829182753,0.0165278367816181,0.0456144709873618
"synthpop (double)","synthpop","double","Cov","X3-X3",-0.0184424482622773,-0.0170681554869683,0.136000802101047,0.137110720345605
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Cov","X3-X3",0.0426656955421256,0.0423760525437737,0.0215700535144518,0.0477985172394755
