"Setting","Statistic","Quantity","Bias.bias_mean","Bias.bias_median","Bias.sd"
"1 Gaussian","Lasso","X3",9.21990782715279e-05,0.000169473199850612,0.00154633606426858
"2-mixture","Lasso","X3",-0.00646929856606784,-0.00644121559595418,0.00371529146767482
"3-mixture","Lasso","X3",-0.0070177116242505,-0.0069792514426632,0.00144465333519319
"4-mixture","Lasso","X3",0.0125080773060929,0.0122901119511416,0.0038351464590222
"1 Gaussian","Quantile","X3_q25",-0.00599932302182342,-0.00702466915348365,0.0285244465800732
"2-mixture","Quantile","X3_q25",-0.135527182388896,-0.135052613562963,0.0356941675489501
"3-mixture","Quantile","X3_q25",-0.0149237369451735,-0.0156622583453387,0.0458184675531009
"4-mixture","Quantile","X3_q25",0.309597359139942,0.306156736109892,0.0734525242062549
"1 Gaussian","Quantile","X3_q5",-0.00080342781006232,-0.00154138624918909,0.0270862703582684
"2-mixture","Quantile","X3_q5",0.0389633454312601,0.0404736271736006,0.0317737467567438
"3-mixture","Quantile","X3_q5",-0.0243511152426574,-0.0231614397563948,0.0363824448605477
"4-mixture","Quantile","X3_q5",-0.02985724553112,-0.0316597779506886,0.0771065507924962
"1 Gaussian","Quantile","X3_q50",-0.00135333315538035,-0.00285206543331396,0.0242076433534236
"2-mixture","Quantile","X3_q50",0.0624379497628035,0.063926663575147,0.0324892470864058
"3-mixture","Quantile","X3_q50",0.0149250098629427,0.0151450010941221,0.0343704425252356
"4-mixture","Quantile","X3_q50",-0.161978273081882,-0.160943960330472,0.0610836848564183
"1 Gaussian","Quantile","X3_q75",0.000718675680670719,-0.000771582825598194,0.0210933171803991
"2-mixture","Quantile","X3_q75",-0.0310585462010211,-0.0312945899389905,0.0289716530793007
"3-mixture","Quantile","X3_q75",-0.0382460403923299,-0.0370575398418162,0.0330434236702792
"4-mixture","Quantile","X3_q75",0.126719687033633,0.127570369970505,0.0550330135103688
"1 Gaussian","Quantile","X3_q95",0.00474365560140138,0.00447258459549804,0.0268809837268675
"2-mixture","Quantile","X3_q95",0.000463173278306897,-0.00128150286716133,0.0335773327017427
"3-mixture","Quantile","X3_q95",0.116014473358711,0.117567473764053,0.0435925327461459
"4-mixture","Quantile","X3_q95",-0.0664318325857398,-0.0659807292676584,0.0504708719610159
"1 Gaussian","Cov","X3-X1",0.00847584480625028,0.00857352600840322,0.00656213529905804
"2-mixture","Cov","X3-X1",0.0151473288224094,0.0154440414462296,0.00855928059368288
"3-mixture","Cov","X3-X1",-0.00160181823096251,-0.00153778760259876,0.0119608067186604
"4-mixture","Cov","X3-X1",0.0870989016387123,0.088722025648869,0.0435793239752939
"1 Gaussian","Cov","X3-X2",-0.00558487078802495,-0.00589235017999634,0.00419545651320517
"2-mixture","Cov","X3-X2",-0.0419971051350566,-0.0419389680216442,0.0120965671454668
"3-mixture","Cov","X3-X2",-0.0581235389104562,-0.0579181997794307,0.0124909152013155
"4-mixture","Cov","X3-X2",-0.0889626000771119,-0.0879037588426534,0.0537852210961043
"1 Gaussian","Cov","X3-X3",0.0050101259334683,0.00535697577530803,0.00601473332128345
"2-mixture","Cov","X3-X3",0.0323474336952894,0.0324075588026549,0.0116365217197893
"3-mixture","Cov","X3-X3",0.0459514935822875,0.0456565505601967,0.0172759702759145
"4-mixture","Cov","X3-X3",0.0676497856867436,0.0609062637608497,0.0505066796853928
